"site","plot","event","year","doy","date","genus","species","scrub","varetc","cult"
"harvard",NA,"bbd","2008",114,2008-04-23,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2009",117,2009-04-27,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2010",98,2010-04-08,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2011",119,2011-04-29,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2012",109,2012-04-18,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2013",119,2013-04-29,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","2014",127,2014-05-07,"Amelanchier","canadensis","0",NA,NA
"harvard",NA,"bbd","1990",118,1990-04-28,"Aronia",NA,"0",NA,NA
"harvard",NA,"bbd","1991",102,1991-04-12,"Aronia",NA,"0",NA,NA
"harvard",NA,"bbd","1992",114,1992-04-23,"Aronia",NA,"0",NA,NA
"harvard",NA,"bbd","1993",114,1993-04-24,"Aronia",NA,"0",NA,NA
"harvard",NA,"bbd","1994",118,1994-04-28,"Aronia",NA,"0",NA,NA
"harvard",NA,"bbd","1995",123,1995-05-03,"Aronia",NA,"0",NA,NA
"harvard",NA,"bbd","1996",116,1996-04-25,"Aronia",NA,"0",NA,NA
"harvard",NA,"bbd","1997",125,1997-05-05,"Aronia",NA,"0",NA,NA
"harvard",NA,"bbd","1998",108,1998-04-18,"Aronia",NA,"0",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Aronia",NA,"0",NA,NA
"harvard",NA,"bbd","2000",122,2000-05-01,"Aronia",NA,"0",NA,NA
"harvard",NA,"bbd","2001",122,2001-05-02,"Aronia",NA,"0",NA,NA
"harvard",NA,"bbd","1990",118,1990-04-28,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1991",112,1991-04-22,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1992",122,1992-05-01,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1993",110,1993-04-20,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1994",118,1994-04-28,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1995",128,1995-05-08,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1996",113,1996-04-22,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1997",125,1997-05-05,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1998",114,1998-04-24,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2000",122,2000-05-01,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2001",122,2001-05-02,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2002",109,2002-04-19,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2003",125,2003-05-05,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2004",118,2004-04-27,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2005",116,2005-04-26,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2006",118,2006-04-28,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2007",124,2007-05-04,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2008",118,2008-04-27,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2009",117,2009-04-27,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2010",98,2010-04-08,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2011",122,2011-05-02,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2012",109,2012-04-18,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2013",122,2013-05-02,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","2014",132,2014-05-12,"Betula","alleghaniensis","0",NA,NA
"harvard",NA,"bbd","1990",118,1990-04-28,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1991",122,1991-05-02,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1992",135,1992-05-14,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1993",114,1993-04-24,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1994",130,1994-05-10,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1995",132,1995-05-12,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1996",113,1996-04-22,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1997",129,1997-05-09,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1998",119,1998-04-29,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2000",129,2000-05-08,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2001",122,2001-05-02,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2002",114,2002-04-24,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2003",129,2003-05-09,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2004",125,2004-05-04,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2005",134,2005-05-14,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2006",124,2006-05-04,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2007",124,2007-05-04,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2008",127,2008-05-06,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2009",121,2009-05-01,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2010",119,2010-04-29,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2011",126,2011-05-06,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2012",115,2012-04-24,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2013",126,2013-05-06,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","2014",135,2014-05-15,"Betula","lenta","0",NA,NA
"harvard",NA,"bbd","1990",118,1990-04-28,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1991",122,1991-05-02,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1992",132,1992-05-11,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1993",114,1993-04-24,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1994",118,1994-04-28,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1995",128,1995-05-08,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1996",116,1996-04-25,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1997",125,1997-05-05,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1998",114,1998-04-24,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2000",126,2000-05-05,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2001",122,2001-05-02,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2002",109,2002-04-19,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2003",121,2003-05-01,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2004",118,2004-04-27,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2005",112,2005-04-22,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2006",111,2006-04-21,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2007",120,2007-04-30,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2008",118,2008-04-27,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2009",117,2009-04-27,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2010",103,2010-04-13,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2011",122,2011-05-02,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2012",109,2012-04-18,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2013",122,2013-05-02,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","2014",132,2014-05-12,"Betula","papyrifera","0",NA,NA
"harvard",NA,"bbd","1990",118,1990-04-28,"Betula","populifolia","0",NA,NA
"harvard",NA,"bbd","1991",116,1991-04-26,"Betula","populifolia","0",NA,NA
"harvard",NA,"bbd","1992",135,1992-05-14,"Betula","populifolia","0",NA,NA
"harvard",NA,"bbd","1993",118,1993-04-28,"Betula","populifolia","0",NA,NA
"harvard",NA,"bbd","1994",124,1994-05-04,"Betula","populifolia","0",NA,NA
"harvard",NA,"bbd","1995",128,1995-05-08,"Betula","populifolia","0",NA,NA
"harvard",NA,"bbd","1996",116,1996-04-25,"Betula","populifolia","0",NA,NA
"harvard",NA,"bbd","1997",129,1997-05-09,"Betula","populifolia","0",NA,NA
"harvard",NA,"bbd","1998",114,1998-04-24,"Betula","populifolia","0",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Betula","populifolia","0",NA,NA
"harvard",NA,"bbd","2000",122,2000-05-01,"Betula","populifolia","0",NA,NA
"harvard",NA,"bbd","2001",122,2001-05-02,"Betula","populifolia","0",NA,NA
"harvard",NA,"bbd","1990",124,1990-05-04,"Castanea","dentata","2",NA,NA
"harvard",NA,"bbd","1991",122,1991-05-02,"Castanea","dentata","2",NA,NA
"harvard",NA,"bbd","1992",132,1992-05-11,"Castanea","dentata","2",NA,NA
"harvard",NA,"bbd","1993",121,1993-05-01,"Castanea","dentata","2",NA,NA
"harvard",NA,"bbd","1994",130,1994-05-10,"Castanea","dentata","2",NA,NA
"harvard",NA,"bbd","1995",128,1995-05-08,"Castanea","dentata","2",NA,NA
"harvard",NA,"bbd","1996",128,1996-05-07,"Castanea","dentata","2",NA,NA
"harvard",NA,"bbd","1997",129,1997-05-09,"Castanea","dentata","2",NA,NA
"harvard",NA,"bbd","1998",114,1998-04-24,"Castanea","dentata","2",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Castanea","dentata","2",NA,NA
"harvard",NA,"bbd","2000",129,2000-05-08,"Castanea","dentata","2",NA,NA
"harvard",NA,"bbd","2001",122,2001-05-02,"Castanea","dentata","2",NA,NA
"harvard",NA,"bbd","1991",109,1991-04-19,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1992",114,1992-04-23,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1993",110,1993-04-20,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1994",118,1994-04-28,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1995",123,1995-05-03,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1996",116,1996-04-25,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1997",125,1997-05-05,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1998",108,1998-04-18,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2000",122,2000-05-01,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2001",118,2001-04-28,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2002",106,2002-04-16,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2003",121,2003-05-01,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2004",113,2004-04-22,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2005",112,2005-04-22,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2006",111,2006-04-21,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2007",120,2007-04-30,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2008",114,2008-04-23,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2009",117,2009-04-27,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2010",98,2010-04-08,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2011",119,2011-04-29,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2012",109,2012-04-18,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2013",119,2013-04-29,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","2014",127,2014-05-07,"Cornus","alternifolia","0",NA,NA
"harvard",NA,"bbd","1990",118,1990-04-28,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","1991",112,1991-04-22,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","1992",122,1992-05-01,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","1993",114,1993-04-24,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","1994",118,1994-04-28,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","1995",123,1995-05-03,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","1996",116,1996-04-25,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","1997",125,1997-05-05,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","1998",108,1998-04-18,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2000",122,2000-05-01,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2001",122,2001-05-02,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2002",109,2002-04-19,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2003",121,2003-05-01,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2004",121,2004-04-30,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2005",116,2005-04-26,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2006",118,2006-04-28,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2007",124,2007-05-04,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2008",118,2008-04-27,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2009",117,2009-04-27,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2010",103,2010-04-13,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2011",119,2011-04-29,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2012",109,2012-04-18,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2013",122,2013-05-02,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","2014",127,2014-05-07,"Crataegus",NA,"0",NA,NA
"harvard",NA,"bbd","1990",121,1990-05-01,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1991",122,1991-05-02,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1992",132,1992-05-11,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1993",118,1993-04-28,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1994",124,1994-05-04,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1995",128,1995-05-08,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1996",128,1996-05-07,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1997",129,1997-05-09,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1998",119,1998-04-29,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2000",126,2000-05-05,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2001",122,2001-05-02,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2002",114,2002-04-24,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2003",125,2003-05-05,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2004",121,2004-04-30,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2005",122,2005-05-02,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2006",124,2006-05-04,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2007",124,2007-05-04,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2008",118,2008-04-27,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2009",117,2009-04-27,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2010",110,2010-04-20,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2011",119,2011-04-29,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2012",109,2012-04-18,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2013",122,2013-05-02,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","2014",132,2014-05-12,"Fagus","grandifolia","0",NA,NA
"harvard",NA,"bbd","1990",121,1990-05-01,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1991",122,1991-05-02,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1992",135,1992-05-14,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1993",118,1993-04-28,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1994",124,1994-05-04,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1995",128,1995-05-08,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1996",128,1996-05-07,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1997",132,1997-05-12,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1998",124,1998-05-04,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1999",123,1999-05-03,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2000",129,2000-05-08,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2001",125,2001-05-05,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2002",129,2002-05-09,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2003",129,2003-05-09,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2004",125,2004-05-04,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2005",134,2005-05-14,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2006",128,2006-05-08,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2007",128,2007-05-08,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2008",122,2008-05-01,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2009",121,2009-05-01,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2010",119,2010-04-29,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2011",130,2011-05-10,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2012",121,2012-04-30,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2013",126,2013-05-06,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","2014",132,2014-05-12,"Fraxinus","americana","0",NA,NA
"harvard",NA,"bbd","1990",124,1990-05-04,"Hamamelis","virginiana","0",NA,NA
"harvard",NA,"bbd","1991",116,1991-04-26,"Hamamelis","virginiana","0",NA,NA
"harvard",NA,"bbd","1992",132,1992-05-11,"Hamamelis","virginiana","0",NA,NA
