Month,Day,Date,Tmax,Tmin,,,,,,,
2014-04,6,2014-04-06,6.0,-4.0,,,,,,,
2014-04,7,2014-04-07,11.0,-5.0,,,,,,,
2014-04,8,2014-04-08,5.0,0.0,,,,,,,
2014-04,9,2014-04-09,3.0,-4.0,,,,,,,
2014-04,10,2014-04-10,11.5,-9.0,,,,,,,
2014-04,11,2014-04-11,9.5,1.0,,,,,,,
2014-04,12,2014-04-12,10.5,-3.0,,,,,,,
2014-04,13,2014-04-13,5.0,-1.5,,,,,,,
2014-04,14,2014-04-14,16.0,0.0,,,,,,,
2014-04,15,2014-04-15,11.0,-5.0,,,,,,,
2014-04,16,2014-04-16,-1.0,-12.0,,,,,,,
2014-04,17,2014-04-17,4.0,-11.0,,,,,,,
2014-04,18,2014-04-18,6.5,-3.0,,,,,,,
2014-04,19,2014-04-19,7.0,0.0,,,,,,,
2014-04,20,2014-04-20,9.5,-7.5,,,,,,,
2014-04,21,2014-04-21,14.5,0.0,,,,,,,
2014-04,22,2014-04-22,8.0,2.0,,,,,,,
2014-04,23,2014-04-23,8.0,1.0,,,,,,,
2014-04,24,2014-04-24,9.0,-1.9,,,,,,,
2014-04,25,2014-04-25,10.5,-2.4,,,,,,,
2014-04,26,2014-04-26,3.0,1.5,,,,,,,
2014-04,27,2014-04-27,8.5,0.0,,,,,,,
2014-04,28,2014-04-28,12.0,-2.0,,,,,,,
2014-04,29,2014-04-29,10.0,2.0,,,,,,,
2014-04,30,2014-04-30,7.0,2.0,,,,,,,
2014-05,1,2014-05-01,12.0,3.0,,,,,,,
2014-05,2,2014-05-02,12.0,4.0,,,,,,,
2014-05,3,2014-05-03,13.0,5.0,,,,,,,
2014-05,4,2014-05-04,12.0,3.5,,,,,,,
2014-05,5,2014-05-05,11.0,2.0,,,,,,,
2014-05,6,2014-05-06,13.0,0.5,,,,,,,
2014-05,7,2014-05-07,16.0,-2.0,,,,,,,
2014-05,8,2014-05-08,17.0,0.0,,,,,,,
2014-05,9,2014-05-09,16.0,6.0,,,,,,,
2014-05,10,2014-05-10,22.5,10.0,,,,,,,
2014-05,11,2014-05-11,21.0,6.5,,,,,,,
2014-05,12,2014-05-12,20.0,4.0,,,,,,,
2014-05,13,2014-05-13,15.0,4.5,,,,,,,
2014-05,14,2014-05-14,22.5,9.5,,,,,,,
2014-05,15,2014-05-15,27.0,13.0,,,,,,,
2014-05,16,2014-05-16,19.5,15.5,,,,,,,
2014-05,17,2014-05-17,14.0,8.5,,,,,,,
2014-05,18,2014-05-18,16.0,2.5,,,,,,,
2014-05,19,2014-05-19,20.0,3.0,,,,,,,
2014-05,20,2014-05-20,22.0,5.0,,,,,,,
2014-05,21,2014-05-21,21.0,8.0,,,,,,,
2014-05,22,2014-05-22,22.0,10.0,,,,,,,
2014-05,23,2014-05-23,18.0,9.0,,,,,,,
2014-05,24,2014-05-24,19.5,9.0,,,,,,,
2014-05,25,2014-05-25,23.5,7.0,,,,,,,
2014-05,26,2014-05-26,23.0,14.0,,,,,,,
2014-05,27,2014-05-27,8.0,6.0,,,,,,,
2014-05,28,2014-05-28,14.0,6.5,,,,,,,
2014-05,29,2014-05-29,19.0,4.0,,,,,,,
2014-05,30,2014-05-30,21.0,10.0,,,,,,,
2014-05,31,2014-05-31,21.0,5.5,,,,,,,
2014-06,1,2014-06-01,23.5,6.5,,,,,,,
2014-06,2,2014-06-02,27.0,11.0,,,,,,,
2014-06,3,2014-06-03,23.0,17.5,,,,,,,
2014-06,4,2014-06-04,16.5,11.0,,,,,,,
2014-06,5,2014-06-05,14.9,10.0,,,,,,,
2014-06,6,2014-06-06,22.5,11.0,,,,,,,
2014-06,7,2014-06-07,26.5,10.4,,,,,,,
2014-06,8,2014-06-08,27.0,12.4,,,,,,,
2014-06,9,2014-06-09,25.5,15.0,,,,,,,
2014-06,10,2014-06-10,24.0,15.0,,,,,,,
2014-06,11,2014-06-11,22.0,10.0,,,,,,,
2014-06,12,2014-06-12,16.0,10.0,,,,,,,
2014-06,13,2014-06-13,16.1,14.0,,,,,,,
2014-06,14,2014-06-14,20.0,13.0,,,,,,,
2014-06,15,2014-06-15,22.5,10.0,,,,,,,
2014-06,16,2014-06-16,22.5,8.1,,,,,,,
2014-06,17,2014-06-17,26.0,10.0,,,,,,,
2014-06,18,2014-06-18,23.0,15.0,,,,,,,
2014-06,19,2014-06-19,22.0,10.0,,,,,,,
2014-06,20,2014-06-20,19.5,7.0,,,,,,,
2014-06,21,2014-06-21,20.0,6.0,,,,,,,
2014-06,22,2014-06-22,23.0,7.5,,,,,,,
2014-06,23,2014-06-23,25.0,10.5,,,,,,,
2014-06,24,2014-06-24,19.0,15.0,,,,,,,
2014-06,25,2014-06-25,22.0,15.0,,,,,,,
2014-06,26,2014-06-26,26.0,15.0,,,,,,,
2014-06,27,2014-06-27,27.0,11.5,,,,,,,
2014-06,28,2014-06-28,28.1,13.0,,,,,,,
2014-06,29,2014-06-29,28.0,15.0,,,,,,,
2014-06,30,2014-06-30,28.0,18.5,,,,,,,
2014-07,1,2014-07-01,29.0,20.0,,,,,,,
2014-07,2,2014-07-02,25.0,17.0,,,,,,,
2014-07,3,2014-07-03,20.0,16.0,,,,,,,
2014-07,4,2014-07-04,21.5,13.0,,,,,,,
2014-07,5,2014-07-05,25.5,8.5,,,,,,,
2014-07,6,2014-07-06,24.5,15.5,,,,,,,
2014-07,7,2014-07-07,21.0,16.0,,,,,,,
2014-07,8,2014-07-08,25.0,14.0,,,,,,,
2014-07,9,2014-07-09,18.5,15.5,,,,,,,
2014-07,10,2014-07-10,21.0,10.0,,,,,,,
2014-07,11,2014-07-11,24.0,9.0,,,,,,,
2014-07,12,2014-07-12,25.0,12.0,,,,,,,
2014-07,13,2014-07-13,20.2,14.5,,,,,,,
2014-07,14,2014-07-14,23.0,14.0,,,,,,,
2014-07,15,2014-07-15,20.0,12.0,,,,,,,
2014-07,16,2014-07-16,21.0,14.0,,,,,,,
2014-07,17,2014-07-17,20.0,11.0,,,,,,,
2014-07,18,2014-07-18,24.0,11.0,,,,,,,
2014-07,19,2014-07-19,24.0,12.4,,,,,,,
2014-07,20,2014-07-20,25.0,15.0,,,,,,,
2014-07,21,2014-07-21,26.0,16.0,,,,,,,
2014-07,22,2014-07-22,26.0,17.0,,,,,,,
2014-07,23,2014-07-23,24.6,19.0,,,,,,,
2014-07,24,2014-07-24,22.2,9.0,,,,,,,
2014-07,25,2014-07-25,23.5,11.8,,,,,,,
2014-07,26,2014-07-26,23.5,12.5,,,,,,,
2014-07,27,2014-07-27,23.0,16.0,,,,,,,
2014-07,28,2014-07-28,17.0,12.5,,,,,,,
2014-07,29,2014-07-29,19.0,8.5,,,,,,,
2014-07,30,2014-07-30,20.0,9.0,,,,,,,
2014-07,31,2014-07-31,18.0,10.0,,,,,,,
2014-08,1,2014-08-01,23.0,16.5,,,,,,,
2014-08,2,2014-08-02,26.1,19.8,,,,,,,
2014-08,3,2014-08-03,26.0,18.8,,,,,,,
2014-08,4,2014-08-04,26.5,19.5,,,,,,,
2014-08,5,2014-08-05,22.0,18.0,,,,,,,
2014-08,6,2014-08-06,23.0,16.3,,,,,,,
2014-08,7,2014-08-07,22.5,18.0,,,,,,,
2014-08,8,2014-08-08,26.0,19.0,,,,,,,
2014-08,9,2014-08-09,27.0,19.5,,,,,,,
2014-08,10,2014-08-10,28.0,20.5,,,,,,,
2014-08,11,2014-08-11,28.2,20.9,,,,,,,
2014-08,12,2014-08-12,25.0,20.0,,,,,,,
2014-08,13,2014-08-13,18.0,17.0,,,,,,,
2014-08,14,2014-08-14,16.0,11.4,,,,,,,
2014-08,15,2014-08-15,14.5,11.8,,,,,,,
2014-08,16,2014-08-16,15.5,12.8,,,,,,,
2014-08,17,2014-08-17,20.0,15.8,,,,,,,
2014-08,18,2014-08-18,21.0,14.0,,,,,,,
2014-08,19,2014-08-19,22.0,15.0,,,,,,,
2014-08,20,2014-08-20,24.0,16.5,,,,,,,
2014-08,21,2014-08-21,23.0,19.5,,,,,,,
2014-08,22,2014-08-22,22.0,18.0,,,,,,,
2014-08,23,2014-08-23,24.0,18.8,,,,,,,
2014-08,24,2014-08-24,27.5,20.5,,,,,,,
2014-08,25,2014-08-25,27.0,20.5,,,,,,,
2014-08,26,2014-08-26,26.0,20.0,,,,,,,
2014-08,27,2014-08-27,23.0,19.0,,,,,,,
2014-08,28,2014-08-28,18.0,14.5,,,,,,,
2014-08,29,2014-08-29,21.0,15.0,,,,,,,
2014-08,30,2014-08-30,23.0,16.8,,,,,,,
2014-08,31,2014-08-31,24.5,21.0,,,,,,,
2014-09,1,2014-09-01,23.6,18.8,,,,,,,
2014-09,2,2014-09-02,26.0,20.5,,,,,,,
2014-09,3,2014-09-03,23.0,18.5,,,,,,,
2014-09,4,2014-09-04,25.0,18.5,,,,,,,
2014-09,5,2014-09-05,26.5,21.5,,,,,,,
2014-09,6,2014-09-06,19.0,16.8,,,,,,,
2014-09,7,2014-09-07,18.5,12.8,,,,,,,
2014-09,8,2014-09-08,22.0,15.0,,,,,,,
2014-09,9,2014-09-09,21.0,15.5,,,,,,,
2014-09,10,2014-09-10,21.0,15.0,,,,,,,
2014-09,11,2014-09-11,21.0,10.7,,,,,,,
2014-09,12,2014-09-12,14.0,9.8,,,,,,,
2014-09,13,2014-09-13,9.0,6.5,,,,,,,
2014-09,14,2014-09-14,9.5,6.3,,,,,,,
2014-09,15,2014-09-15,15.0,8.3,,,,,,,
2014-09,16,2014-09-16,16.0,11.3,,,,,,,
2014-09,17,2014-09-17,13.5,8.8,,,,,,,
2014-09,18,2014-09-18,10.0,6.3,,,,,,,
2014-09,19,2014-09-19,10.0,3.8,,,,,,,
2014-09,20,2014-09-20,17.0,9.0,,,,,,,
2014-09,21,2014-09-21,18.0,16.0,,,,,,,
2014-09,22,2014-09-22,10.0,8.0,,,,,,,
2014-09,23,2014-09-23,16.0,10.0,,,,,,,
2014-09,24,2014-09-24,19.0,11.0,,,,,,,
2014-09,25,2014-09-25,22.5,14.8,,,,,,,
2014-09,26,2014-09-26,24.2,16.0,,,,,,,
2014-09,27,2014-09-27,26.0,18.3,,,,,,,
2014-09,28,2014-09-28,25.0,18.5,,,,,,,
2014-09,29,2014-09-29,14.0,10.5,,,,,,,
2014-09,30,2014-09-30,13.5,10.0,,,,,,,
2014-10,1,2014-10-01,16.0,9.0,,,,,,,
2014-10,2,2014-10-02,17.9,7.0,,,,,,,
2014-10,3,2014-10-03,19.0,6.0,,,,,,,
2014-10,4,2014-10-04,12.0,9.0,,,,,,,
2014-10,5,2014-10-05,11.4,5.5,,,,,,,
2014-10,6,2014-10-06,13.0,3.0,,,,,,,
2014-10,7,2014-10-07,15.0,8.5,,,,,,,
2014-10,8,2014-10-08,14.0,6.5,,,,,,,
2014-10,9,2014-10-09,7.0,1.0,,,,,,,
2014-10,10,2014-10-10,10.5,2.0,,,,,,,
2014-10,11,2014-10-11,11.0,-1.0,,,,,,,
2014-10,12,2014-10-12,12.5,-1.0,,,,,,,
2014-10,13,2014-10-13,14.7,-0.8,,,,,,,
2014-10,14,2014-10-14,21.0,10.4,,,,,,,
2014-10,15,2014-10-15,19.0,14.0,,,,,,,
2014-10,16,2014-10-16,16.0,14.0,,,,,,,
2014-10,17,2014-10-17,14.0,11.5,,,,,,,
2014-10,18,2014-10-18,15.5,5.5,,,,,,,
2014-10,19,2014-10-19,6.0,-1.0,,,,,,,
2014-10,20,2014-10-20,5.0,-2.0,,,,,,,
2014-10,21,2014-10-21,6.0,2.0,,,,,,,
2014-10,22,2014-10-22,11.0,4.0,,,,,,,
2014-10,23,2014-10-23,11.0,4.0,,,,,,,
2014-10,24,2014-10-24,15.3,6.0,,,,,,,
2014-10,25,2014-10-25,10.0,1.0,,,,,,,
2014-10,26,2014-10-26,8.5,4.5,,,,,,,
2014-10,27,2014-10-27,10.0,2.0,,,,,,,
2014-10,28,2014-10-28,8.0,2.0,,,,,,,
2014-10,29,2014-10-29,10.5,5.0,,,,,,,
2014-10,30,2014-10-30,7.2,-1.0,,,,,,,
2014-010,31,2014-10-31,5.0,-3.0,,,,,,,
2014-11,1,2014-11-01,3.0,-1.0,,,,,,,
2014-11,2,2014-11-02,4.5,-0.5,,,,,,,
2014-11,3,2014-11-03,6.0,-5.0,,,,,,,
2014-11,4,2014-11-04,9.0,2.0,,,,,,,
2014-11,5,2014-11-05,7.5,3.0,,,,,,,
2014-11,6,2014-11-06,6.0,-2.0,,,,,,,
2014-11,7,2014-11-07,2.0,-2.0,,,,,,,
2014-11,8,2014-11-08,1.0,-6.4,,,,,,,
2014-11,9,2014-11-09,1.4,-4.0,,,,,,,
2014-11,10,2014-11-10,4.0,-3.9,,,,,,,
2014-11,11,2014-11-11,9.0,-1.0,,,,,,,
2014-11,12,2014-11-12,5.0,0.6,,,,,,,
2014-11,13,2014-11-13,1.0,-3.5,,,,,,,
2014-11,14,2014-11-14,-1.0,-7.0,,,,,,,
2014-11,15,2014-11-15,-1.0,-9.0,,,,,,,
2014-11,16,2014-11-16,-2.0,-5.5,,,,,,,
2014-11,17,2014-11-17,-1.0,-2.9,,,,,,,
2014-11,18,2014-11-18,-7.0,-8.0,,,,,,,
2014-11,19,2014-11-19,-4.0,-11.0,,,,,,,
2014-11,20,2014-11-20,-3.0,-10.0,,,,,,,
2014-11,21,2014-11-21,-6.5,-12.0,,,,,,,
2014-11,22,2014-11-22,1.0,-14.5,,,,,,,
2014-11,23,2014-11-23,4.0,-2.0,,,,,,,
2014-11,24,2014-11-24,12.0,0.0,,,,,,,
2014-11,25,2014-11-25,3.4,1.1,,,,,,,
2014-11,26,2014-11-26,-2.0,-5.0,,,,,,,
2014-11,27,2014-11-27,-1.0,-9.0,,,,,,,
2014-11,28,2014-11-28,-5.5,-9.0,,,,,,,
2014-11,29,2014-11-29,-3.0,-15.0,,,,,,,
2014-11,30,2014-11-30,5.0,-6.0,,,,,,,
2014-12,1,2014-12-01,-3.0,-8.0,,,,,,,
2014-12,2,2014-12-02,-5.0,-20.0,,,,,,,
2014-12,3,2014-12-03,0.0,-15.0,,,,,,,
2014-12,4,2014-12-04,-9.1,-18.0,,,,,,,
2014-12,5,2014-12-05,-4.5,-25.0,,,,,,,
2014-12,6,2014-12-06,-0.5,-10.5,,,,,,,
2014-12,7,2014-12-07,-12.5,-18.2,,,,,,,
2014-12,8,2014-12-08,-7.0,-22.0,,,,,,,
2014-12,9,2014-12-09,-2.0,-13.0,,,,,,,
2014-12,10,2014-12-10,-1.0,-4.0,,,,,,,
2014-12,11,2014-12-11,0.0,-4.0,,,,,,,
2014-12,12,2014-12-12,0.5,-3.5,,,,,,,
2014-12,13,2014-12-13,0.5,-6.0,,,,,,,
2014-12,14,2014-12-14,-0.5,-10.0,,,,,,,
2014-12,15,2014-12-15,-4.0,-5.0,,,,,,,
2014-12,16,2014-12-16,-2.0,-5.0,,,,,,,
2014-12,17,2014-12-17,0.0,-4.0,,,,,,,
2014-12,18,2014-12-18,-3.0,-5.0,,,,,,,
2014-12,19,2014-12-19,-4.5,-10.4,,,,,,,
2014-12,20,2014-12-20,-5.5,-19.5,,,,,,,
2014-12,21,2014-12-21,-9.0,-16.0,,,,,,,
2014-12,22,2014-12-22,-4.5,-14.0,,,,,,,
2014-12,23,2014-12-23,1.0,-9.0,,,,,,,
2014-12,24,2014-12-24,5.5,-1.5,,,,,,,
2014-12,25,2014-12-25,3.0,0.5,,,,,,,
2014-12,26,2014-12-26,2.5,0.0,,,,,,,
2014-12,27,2014-12-27,5.0,-1.0,,,,,,,
2014-12,28,2014-12-28,3.0,-2.8,,,,,,,
2014-12,29,2014-12-29,-10.0,-14.5,,,,,,,
2014-12,30,2014-12-30,-14.0,-21.5,,,,,,,
2014-12,31,2014-12-31,-9.5,-22.5,,,,,,,
2015-01,1,2015-01-01,-6.5,-11.0,,,,,,,
2015-01,2,2015-01-02,-11.5,-16.5,,,,,,,
2015-01,3,2015-01-03,-8.5,-24.0,,,,,,,
2015-01,4,2015-01-04,0.0,-16.0,,,,,,,
2015-01,5,2015-01-05,-16.6,-22.0,,,,,,,
2015-01,6,2015-01-06,-14.0,-31.0,,,,,,,
2015-01,7,2015-01-07,-14.0,-26.0,,,,,,,
2015-01,8,2015-01-08,-13.0,-33.0,,,,,,,
2015-01,9,2015-01-09,-10.0,-20.0,,,,,,,
2015-01,10,2015-01-10,-11.5,-27.0,,,,,,,
2015-01,11,2015-01-11,-9.0,-19.5,,,,,,,
2015-01,12,2015-01-12,-4.0,-11.0,,,,,,,
2015-01,13,2015-01-13,-16.0,-30.0,,,,,,,
2015-01,14,2015-01-14,-11.0,-31.0,,,,,,,
2015-01,15,2015-01-15,-6.5,-27.0,,,,,,,
2015-01,16,2015-01-16,-12.5,-19.5,,,,,,,
2015-01,17,2015-01-17,-9.5,-31.5,,,,,,,
2015-01,18,2015-01-18,-2.0,-20.8,,,,,,,
2015-01,19,2015-01-19,-1.0,-10.0,,,,,,,
2015-01,20,2015-01-20,-15.0,-22.0,,,,,,,
2015-01,21,2015-01-21,-9.0,-27.0,,,,,,,
2015-01,22,2015-01-22,-5.0,-26.0,,,,,,,
2015-01,23,2015-01-23,-3.0,-19.0,,,,,,,
2015-01,24,2015-01-24,-4.0,-6.5,,,,,,,
2015-01,25,2015-01-25,-14.0,-19.0,,,,,,,
2015-01,26,2015-01-26,-14.0,-31.0,,,,,,,
2015-01,27,2015-01-27,-11.0,-21.0,,,,,,,
2015-01,28,2015-01-28,-5.0,-16.0,,,,,,,
2015-01,29,2015-01-29,-5.0,-24.0,,,,,,,
2015-01,30,2015-01-30,-6.0,-15.0,,,,,,,
2015-01,31,2015-01-31,-12.6,-27.8,,,,,,,
2015-02,1,2015-02-01,-14.7,-24.2,,,,,,,
2015-02,2,2015-02-02,-18.0,-27.0,,,,,,,
2015-02,3,2015-02-03,-12.0,-33.0,,,,,,,
2015-02,4,2015-02-04,-8.0,-17.0,,,,,,,
2015-02,5,2015-02-05,-12.9,-21.6,,,,,,,
2015-02,6,2015-02-06,-13.0,-31.0,,,,,,,
2015-02,7,2015-02-07,-14.5,-21.4,,,,,,,
2015-02,8,2015-02-08,-16.0,-21.0,,,,,,,
2015-02,9,2015-02-09,-12.6,-20.0,,,,,,,
2015-02,10,2015-02-10,-5.0,-16.0,,,,,,,
2015-02,11,2015-02-11,-12.0,-23.0,,,,,,,
2015-02,12,2015-02-12,-7.0,-15.4,,,,,,,
2015-02,13,2015-02-13,-18.3,-28.0,,,,,,,
2015-02,14,2015-02-14,-16.0,-27.0,,,,,,,
2015-02,15,2015-02-15,-18.5,-24.0,,,,,,,
2015-02,16,2015-02-16,-12.4,-26.0,,,,,,,
2015-02,17,2015-02-17,-10.8,-30.4,,,,,,,
2015-02,18,2015-02-18,-9.0,-30.0,,,,,,,
2015-02,19,2015-02-19,-8.0,-17.0,,,,,,,
2015-02,20,2015-02-20,-13.0,-20.0,,,,,,,
2015-02,21,2015-02-21,-12.0,-24.0,,,,,,,
2015-02,22,2015-02-22,-5.5,-16.5,,,,,,,
2015-02,23,2015-02-23,-19.9,-26.0,,,,,,,
2015-02,24,2015-02-24,-12.0,-32.0,,,,,,,
2015-02,25,2015-02-25,-7.0,-18.0,,,,,,,
2015-02,26,2015-02-26,-10.9,-32.0,,,,,,,
2015-02,27,2015-02-27,-9.0,-29.9,,,,,,,
2015-02,28,2015-02-28,-6.5,-22.5,,,,,,,
2015-03,1,2015-03-01,-5.0,-23.0,,,,,,,
2015-03,2,2015-03-02,-5.0,-11.0,,,,,,,
2015-03,3,2015-03-03,-6.0,-26.5,,,,,,,
2015-03,4,2015-03-04,0.0,-11.0,,,,,,,
2015-03,5,2015-03-05,-8.6,-18.0,,,,,,,
2015-03,6,2015-03-06,-7.8,-29.0,,,,,,,
2015-03,7,2015-03-07,-3.4,-13.0,,,,,,,
2015-03,8,2015-03-08,-0.5,-9.0,,,,,,,
2015-03,9,2015-03-09,0.0,-13.0,,,,,,,
2015-03,10,2015-03-10,7.0,-11.0,,,,,,,
2015-03,11,2015-03-11,7.0,1.0,,,,,,,
2015-03,12,2015-03-12,-3.9,-12.0,,,,,,,
2015-03,13,2015-03-13,-3.0,-18.0,,,,,,,
2015-03,14,2015-03-14,-1.0,-7.0,,,,,,,
2015-03,15,2015-03-15,0.3,-5.0,,,,,,,
2015-03,16,2015-03-16,3.0,-18.0,,,,,,,
2015-03,17,2015-03-17,0.0,-8.0,,,,,,,
2015-03,18,2015-03-18,-8.0,-17.0,,,,,,,
2015-03,19,2015-03-19,-1.8,-22.0,,,,,,,
2015-03,20,2015-03-20,2.0,-18.0,,,,,,,
2015-03,21,2015-03-21,0.0,-4.5,,,,,,,
2015-03,22,2015-03-22,-9.0,-21.0,,,,,,,
2015-03,23,2015-03-23,-5.0,-20.0,,,,,,,
2015-03,24,2015-03-24,3.0,-20.0,,,,,,,
2015-03,25,2015-03-25,4.0,-16.5,,,,,,,
2015-03,26,2015-03-26,3.5,-0.9,,,,,,,
2015-03,27,2015-03-27,1.5,-3.0,,,,,,,
2015-03,28,2015-03-28,-1.5,-13.5,,,,,,,
2015-03,29,2015-03-29,3.0,-18.5,,,,,,,
2015-03,30,2015-03-30,2.0,-4.0,,,,,,,
2015-03,31,2015-03-31,2.5,-11.0,,,,,,,
2015-04,1,2015-04-01,2.1,-17.0,,,,,,,
2015-04,2,2015-04-02,6.0,-9.0,,,,,,,
2015-04,3,2015-04-03,12.0,0.4,,,,,,,
2015-04,4,2015-04-04,1.8,-7.4,,,,,,,
2015-04,5,2015-04-05,-2.0,-13.0,,,,,,,
2015-04,6,2015-04-06,1.5,-17.1,,,,,,,
2015-04,7,2015-04-07,6.5,-9.0,,,,,,,
2015-04,8,2015-04-08,3.0,-8.5,,,,,,,
2015-04,9,2015-04-09,3.0,-3.0,,,,,,,
2015-04,10,2015-04-10,7.0,0.0,,,,,,,
2015-04,11,2015-04-11,6.0,-1.5,,,,,,,
2015-04,12,2015-04-12,14.5,-2.5,,,,,,,
2015-04,13,2015-04-13,18.5,-1.5,,,,,,,
