year,species,bb.jd,l75.jd,fbb.jd,fopn.jd,sd.bb.jd,sd.l75.jd,sd.fbb.jd,sd.fopn.jd
1999,CRSP,123,140,NA,NA,0.865383163,1.515632864,NA,NA
2000,CRSP,125,144,NA,NA,1.248325163,5.759521219,0,7.090152719
2001,CRSP,123,138,NA,NA,0.062521573,0.468396354,NA,NA
2002,CRSP,118,NA,NA,NA,2.820341299,2.332223009,4.330127019,3.310339731
2003,CRSP,129,NA,144,145,0.405549855,0.721402768,6.062177826,5.354984295
2004,CRSP,123,NA,NA,NA,1.283911642,2.865510009,4.596194078,1.319941615
2005,CRSP,123,NA,NA,NA,2.504751297,3.459533089,NA,NA
2006,CRSP,123,NA,NA,NA,0.794997901,0.412316026,NA,NA
2007,CRSP,127,NA,NA,NA,1.112411808,0.321438208,4.242640687,11.31372971
2008,CRSP,125,NA,NA,NA,1.06172097,0.504981938,NA,NA
2009,CRSP,118,NA,NA,NA,2.28484182,2.186191646,NA,NA
2010,CRSP,107,NA,NA,NA,1.885714722,2.343931382,0,6.088849155
2011,CRSP,125,NA,NA,NA,2.428987207,3.023795733,8.485281374,NA
2012,CRSP,112,NA,NA,NA,2.821794505,0.432841661,0,4.196575986
2013,CRSP,123,NA,NA,NA,4.097190097,0.168327313,3.5,2.119123059
2014,CRSP,130,NA,NA,NA,2.008521741,0.505325463,NA,NA
1990,FAGR,130,142,NA,NA,2.002641327,3.007117291,4.836923954,1.075344872
1991,FAGR,124,137,NA,NA,2.186157234,3.461882823,0,2.303129013
1992,FAGR,134,150,NA,NA,2.865133657,2.952977785,NA,NA
1993,FAGR,123,146,NA,NA,4.594136088,2.914294046,2.25,0.779556221
1994,FAGR,129,142,NA,NA,6.111099574,3.041280034,0,0.992227331
1995,FAGR,131,142,NA,NA,6.273356519,1.145619076,NA,NA
1996,FAGR,131,143,NA,NA,5.518148474,2.116683667,18.03122292,16.29574616
1997,FAGR,134,147,NA,NA,1.201277897,0.448958482,NA,NA
1998,FAGR,122,137,178,179,5.494681928,3.464179558,0,7.07E-05
1999,FAGR,125,137,NA,NA,2.194185625,0.296078245,0,5.30E-05
2000,FAGR,128,143,NA,NA,3.965207201,3.129710609,2.25,5.761877073
2001,FAGR,122,137,NA,NA,3.837265302,1.189238761,2.598076211,2.598090647
2002,FAGR,125,NA,NA,NA,1.370070225,4.907400789,NA,NA
2003,FAGR,133,NA,NA,NA,6.826209651,4.125002279,3.535533906,16.9704779
2004,FAGR,127,NA,NA,NA,5.668271418,2.869135037,NA,NA
2005,FAGR,131,NA,NA,NA,1.695860029,4.579668062,NA,NA
2006,FAGR,130,149,NA,NA,2.720851745,3.201612485,NA,NA
2007,FAGR,129,142,NA,NA,2.733328057,4.724769015,NA,NA
2008,FAGR,127,146,NA,NA,4.953378437,5.559509927,4.596194078,4.596330196
2009,FAGR,123,142,NA,NA,2.799972297,4.815276905,NA,NA
2010,FAGR,118,134,NA,NA,0.987419869,3.009665082,3.75277675,3.587383571
2011,FAGR,127,143,122,124,0.067610941,0.833336682,10.96015511,NA
2012,FAGR,122,140,NA,NA,1.595099829,1.528645336,0,0.314303465
2013,FAGR,125,142,120,121,4.027882782,6.632250194,NA,NA
2014,FAGR,134,148,NA,NA,0.453714769,1.408216092,NA,NA
1990,FRAM,125,160,NA,NA,0,0.117733868,4.596194078,3.771422372
1991,FRAM,126,144,NA,NA,0,0.944880828,NA,NA
1992,FRAM,136,172,136,140,1.860348798,3.396179255,NA,NA
1993,FRAM,124,151,NA,NA,2.120533706,2.532086583,0,5.30E-05
1994,FRAM,131,153,134,137,1.234192238,1.80035455,3.181980515,3.692749278
1995,FRAM,133,151,136,138,2.672254005,1.625361074,5.484827557,2.81298027
1996,FRAM,130,152,NA,NA,0,1.07922127,2.886751346,1.074193119
1997,FRAM,138,159,138,144,2.394917833,3.131430435,NA,NA
1998,FRAM,125,150,131,131,2.412426803,2.30173555,7.075485849,3.01084887
1999,FRAM,129,148,121,121,0.104283431,4.163499735,0,0.26270916
2000,FRAM,130,156,130,145,5.327485832,4.937960225,NA,NA
2001,FRAM,124,150,124,124,3.237076014,3.023901473,NA,NA
2002,FRAM,133,153,NA,NA,4.093229995,5.563511769,2.738612788,5.376246089
2003,FRAM,136,160,132,134,2.793952003,0.779122533,NA,NA
2004,FRAM,129,145,126,128,2.50839734,2.457057855,0,3.441325598
2005,FRAM,137,157,139,149,3.031647094,4.855369454,NA,NA
2006,FRAM,133,155,126,128,2.752846584,1.394424736,NA,NA
2007,FRAM,132,151,130,132,1.615629675,1.970796563,NA,NA
2008,FRAM,131,153,130,130,2.532009322,0.512637316,NA,NA
2009,FRAM,123,147,131,131,1.979772298,1.699993207,2.474873734,NA
2010,FRAM,123,145,NA,NA,0.418954621,0.774677948,NA,NA
2011,FRAM,131,151,132,132,0.194509003,1.699191846,18.03122292,18.03148632
2012,FRAM,128,145,NA,NA,2.757908481,2.807456241,NA,NA
2013,FRAM,128,151,124,124,3.948428037,2.171962268,NA,NA
2014,FRAM,138,155,NA,NA,2.559422351,2.984747249,3.175426481,3.175453905
1990,HAVI,123,156,NA,NA,2.590042725,0.582780276,NA,NA
1991,HAVI,118,142,NA,NA,2.318191611,4.703060389,18.7383297,4.221363738
1992,HAVI,133,158,172,172,4.959884599,2.847565496,NA,NA
1993,HAVI,123,149,NA,NA,0.558829134,0.077604924,3.464101615,6.286798987
1994,HAVI,128,147,NA,NA,1.635650151,0.946521821,NA,NA
1995,HAVI,129,146,NA,NA,1.086766279,1.294253728,3.535533906,1.060615977
1996,HAVI,125,148,NA,NA,2.919053555,2.779883022,9.192388155,0.196477673
1997,HAVI,130,152,NA,NA,0.037852689,2.0000125,NA,NA
1998,HAVI,113,139,NA,NA,0.14457224,1.67113856,4.242640687,3.720004845
1999,HAVI,122,139,NA,NA,1.72716956,2.118461261,NA,NA
2000,HAVI,126,146,NA,NA,2.788341084,0.207243802,NA,NA
2001,HAVI,122,138,NA,NA,1.845452929,4.720826687,2.309401077,5.786654679
2002,HAVI,109,149,NA,NA,1.035639607,0.783400175,5.303300859,1.948343482
2003,HAVI,128,152,NA,NA,3.031243252,1.527506695,6.639528096,2.16316387
2004,HAVI,121,140,NA,NA,1.851386075,3.07679025,9.237604307,1.488168715
2005,HAVI,121,156,NA,NA,2.575740316,0.903328219,NA,NA
2006,HAVI,121,148,NA,NA,0.705044356,1.482202851,2,2.298753503
2007,HAVI,126,144,NA,NA,2.417029568,2.708477177,NA,NA
2008,HAVI,120,147,NA,NA,0.240545532,3.947281206,NA,NA
2009,HAVI,119,140,NA,NA,1.49182422,5.613388536,1.732050808,2.836507852
2010,HAVI,107,134,NA,NA,1.679368062,4.621670032,0,3.633154071
2011,HAVI,123,144,NA,NA,1.945623486,4.500635775,NA,NA
2012,HAVI,111,140,NA,NA,2.325239017,1.943066987,7.071067812,6.71745962
2013,HAVI,122,142,NA,NA,2.668819453,0.563554555,NA,NA
2014,HAVI,131,150,NA,NA,1.266698209,3.055161211,1.732050808,1.731972865
1990,ILVE,129,155,181,184,2.96790635,6.309298186,0,0.117680834
1991,ILVE,120,143,163,168,1.582367202,1.17775844,0,0.314063047
1992,ILVE,138,170,188,188,0.115423691,6.791920974,1.732050808,1.508191219
1993,ILVE,122,150,172,175,0.567520553,2.131775492,NA,NA
1994,ILVE,131,154,169,173,3.535251062,2.556309862,NA,NA
1995,ILVE,131,153,180,181,4.475208767,2.611768775,NA,NA
1996,ILVE,127,155,176,177,1.104120338,6.3043751,NA,NA
1997,ILVE,135,164,170,190,2.164105525,0.292030911,NA,NA
1998,ILVE,119,145,175,176,1.271716645,3.93050158,NA,NA
1999,ILVE,127,150,164,175,1.242434731,7.566887458,NA,NA
2000,ILVE,129,155,NA,NA,0.629550245,2.986858485,3.889087297,1.23731931
2001,ILVE,125,152,174,174,5.547890372,0.710357071,5.0083264,1.891734342
1990,KAAN,147,168,168,172,0.172980464,2.351621667,3.75277675,4.259814274
1991,KAAN,138,156,154,158,1.376116941,2.30939819,4.536885863,3.883792286
1992,KAAN,146,184,172,174,3.036461978,5.965819028,0,0
1993,KAAN,142,161,167,171,0.73921468,NA,NA,NA
1994,KAAN,150,163,167,171,1.829435811,2.699977,0,0
1995,KAAN,146,166,169,177,1.923600734,0.494979294,NA,NA
1996,KAAN,146,165,169,173,1.029524838,0.412533264,NA,NA
1997,KAAN,151,171,178,182,1.050816186,7.589902762,1.732050808,0.150039651
1998,KAAN,140,162,163,168,0.864021944,0.292030911,0,7.778072062
1999,KAAN,140,161,164,169,3.59304472,4.288767438,4.769696007,4.825938368
2000,KAAN,145,165,173,176,2.732763161,1.64436832,2.020725942,0.452102916
2001,KAAN,146,169,NA,NA,1.514606368,2.086082213,NA,NA
1990,KALA,146,168,174,179,2.000191946,4.757035669,1.5,2.166544491
1991,KALA,138,160,156,160,1.556504227,3.222471088,4.907477288,0.096085999
1992,KALA,148,191,175,181,0.254593255,1.415495224,NA,NA
1993,KALA,138,160,167,175,1.875983788,2.224962051,NA,NA
1994,KALA,144,163,174,175,1.263769236,3.179805836,0,1.433770236
1995,KALA,142,166,168,177,0.236362172,2.348853318,NA,NA
1996,KALA,143,167,172,178,1.746659331,1.194978376,2.020725942,2.390894487
1997,KALA,149,171,176,181,0.794935689,2.309519434,NA,NA
1998,KALA,135,162,161,168,0.969681129,4.165093485,NA,NA
1999,KALA,137,159,162,171,0.096319827,3.607330057,NA,NA
2000,KALA,138,163,171,177,0.979544306,1.082347391,NA,NA
2001,KALA,138,168,NA,NA,0.368937,2.770840004,NA,NA
1990,LYLI,130,150,180,185,0.828355924,3.544294635,NA,NA
1991,LYLI,136,149,172,174,17.44344818,8.170134964,NA,NA
1992,LYLI,138,176,193,193,0.366869893,2.489545817,NA,NA
1993,LYLI,121,149,NA,NA,1.551912874,5.67644046,NA,NA
1994,LYLI,134,153,178,182,0.729883496,2.813424705,NA,NA
1995,LYLI,133,150,191,191,1.640807646,3.679207264,NA,NA
1996,LYLI,122,151,190,NA,2.56168296,11.3055706,NA,NA
1997,LYLI,138,156,189,194,5.357761508,1.500025005,NA,NA
1998,LYLI,126,143,164,179,4.055347028,2.288806851,NA,NA
1999,LYLI,131,149,150,181,0.316152147,1.435237763,NA,NA
2000,LYLI,131,154,186,188,1.402664837,0.865920037,0,2.665119997
2001,LYLI,124,147,NA,NA,10.5604139,8.398542195,NA,NA
